# প্রতি ভিডিও: বাংলা শিরোনাম | জার্মান বাক্য ১ | বাংলা অর্থ ১ | বাংলা উচ্চারণ ১ | জার্মান বাক্য ২ | বাংলা অর্থ ২ | বাংলা উচ্চারণ ২
# এটি লেখকের ভাষা সহায়িকা। ভিডিওতে কোনো ক্যাপশন বা লেখা দেখানো হবে না।
নিজের নাম বলুন|Ich heiße Anna.|আমার নাম আনা।|ইখ হাইসে আনা।|Wie heißt du?|তোমার নাম কী?|ভি হাইস্ট ডু?
না বুঝলে আবার বলতে বলুন|Ich verstehe das nicht.|আমি এটা বুঝতে পারছি না।|ইখ ফেরশ্টেয়ে ডাস নিখ্ট।|Können Sie das bitte wiederholen?|আপনি কি আবার বলবেন?|ক্যোনেন জি ডাস বিটে ভিডারহোলেন?
ধীরে বলতে বলুন|Bitte sprechen Sie langsam.|দয়া করে ধীরে বলুন।|বিটে শ্প্রেখেন জি লাংজাম।|Ich möchte alles verstehen.|আমি সব বুঝতে চাই।|ইখ ম্যোখটে আলেস ফেরশ্টেয়েন।
শব্দের অর্থ জিজ্ঞেস করুন|Was bedeutet dieses Wort?|এই শব্দের অর্থ কী?|ভাস বেডয়টেট ডিজেস ভর্ট?|Können Sie ein Beispiel geben?|একটা উদাহরণ দিতে পারবেন?|ক্যোনেন জি আইন বাইশ্পিল গেবেন?
জার্মানে কীভাবে বলে|Wie sagt man das auf Deutsch?|এটা জার্মানে কীভাবে বলে?|ভি জাক্ট মান ডাস আউফ ডয়চ?|Bitte schreiben Sie es auf.|দয়া করে লিখে দিন।|বিটে শ্রাইবেন জি এস আউফ।
নামের বানান জিজ্ঞেস করুন|Wie schreibt man Ihren Namen?|আপনার নাম কীভাবে লেখে?|ভি শ্রাইপ্ট মান ইরেন নামেন?|Können Sie ihn bitte buchstabieren?|বানান করে বলবেন?|ক্যোনেন জি ইন বিটে বুখশ্টাবিরেন?
উচ্চারণ ঠিক কি না জানুন|Spreche ich das richtig aus?|আমি কি ঠিক উচ্চারণ করছি?|শ্প্রেখে ইখ ডাস রিখ্টিখ আউস?|Bitte helfen Sie mir.|দয়া করে সাহায্য করুন।|বিটে হেলফেন জি মিয়া।
আপনার ভাষার পরিচয় দিন|Sprechen Sie Englisch?|আপনি কি ইংরেজি বলেন?|শ্প্রেখেন জি ইংলিশ?|Meine Muttersprache ist Bengali.|আমার মাতৃভাষা বাংলা।|মাইনে মুটারশ্প্রাখে ইস্ট বেঙ্গালি।
প্রতিদিন একটু শিখুন|Ich übe jeden Tag.|আমি প্রতিদিন অনুশীলন করি।|ইখ ইউবে ইয়েডেন টাক।|Heute lerne ich neue Wörter.|আজ নতুন শব্দ শিখছি।|হয়টে লের্নে ইখ নয়ে ভ্যোর্টার।
প্রশ্ন করতে শিখুন|Ich habe eine Frage.|আমার একটা প্রশ্ন আছে।|ইখ হাবে আইনে ফ্রাগে।|Können Sie mir das erklären?|আমাকে এটা বুঝিয়ে বলবেন?|ক্যোনেন জি মিয়া ডাস এরক্লেয়ারেন?
পরিবারের পরিচয় দিন|Das ist meine Familie.|এটা আমার পরিবার।|ডাস ইস্ট মাইনে ফামিলিয়ে।|Wir wohnen zusammen.|আমরা একসঙ্গে থাকি।|ভিয়া ভোনেন ৎসুজামেন।
মায়ের কথা বলুন|Meine Mutter heißt Maria.|আমার মায়ের নাম মারিয়া।|মাইনে মুটার হাইস্ট মারিয়া।|Sie arbeitet im Krankenhaus.|তিনি হাসপাতালে কাজ করেন।|জি আরবাইটেট ইম ক্রাংকেনহাউস।
বাবার কথা বলুন|Mein Vater ist Lehrer.|আমার বাবা শিক্ষক।|মাইন ফাটার ইস্ট লেয়রার।|Er liest sehr gern.|তিনি পড়তে খুব ভালোবাসেন।|এয়া লিস্ট জেয়া গের্ন।
বোনের কথা বলুন|Ich habe eine Schwester.|আমার একটি বোন আছে।|ইখ হাবে আইনে শ্ভেস্টার।|Sie ist jünger als ich.|সে আমার চেয়ে ছোট।|জি ইস্ট ইয়ুংগার আল্স ইখ।
ভাই কোথায় থাকেন|Mein Bruder wohnt in Hamburg.|আমার ভাই হামবুর্গে থাকে।|মাইন ব্রুডার ভোন্ট ইন হামবুর্ক।|Er studiert dort.|সে সেখানে বিশ্ববিদ্যালয়ে পড়ে।|এয়া শ্টুডির্ট ডর্ট।
সন্তানের কথা বলুন|Wir haben zwei Kinder.|আমাদের দুই সন্তান আছে।|ভিয়া হাবেন ৎসভাই কিন্ডার।|Sie gehen zur Schule.|তারা স্কুলে যায়।|জি গেয়েন ৎসুর শুলে।
বৈবাহিক পরিচয় দিন|Ich bin verheiratet.|আমি বিবাহিত।|ইখ বিন ফেরহাইরাটেট।|Mein Mann arbeitet heute.|আমার স্বামী আজ কাজ করছেন।|মাইন মান আরবাইটেট হয়টে।
সঙ্গীর কথা বলুন|Meine Frau spricht Deutsch.|আমার স্ত্রী জার্মান বলেন।|মাইনে ফ্রাউ শ্প্রিখ্ট ডয়চ।|Wir lernen zusammen.|আমরা একসঙ্গে শিখি।|ভিয়া লের্নেন ৎসুজামেন।
প্রিয় বন্ধুর পরিচয়|Meine beste Freundin heißt Sara.|আমার সবচেয়ে ভালো বান্ধবীর নাম সারা।|মাইনে বেস্টে ফ্রয়ন্ডিন হাইস্ট জারা।|Wir treffen uns oft.|আমরা প্রায়ই দেখা করি।|ভিয়া ট্রেফেন উন্স অফ্ট।
দাদা-দাদির সঙ্গে দেখা|Meine Großeltern wohnen auf dem Land.|আমার দাদা-দাদি গ্রামে থাকেন।|মাইনে গ্রোসএল্টার্ন ভোনেন আউফ ডেম লান্ট।|Ich besuche sie am Sonntag.|রবিবার তাঁদের দেখতে যাই।|ইখ বেজুখে জি আম জনটাক।
বাসার বর্ণনা দিন|Meine Wohnung ist klein.|আমার বাসা ছোট।|মাইনে ভোনুং ইস্ট ক্লাইন।|Sie hat zwei Zimmer.|এতে দুটি ঘর আছে।|জি হাট ৎসভাই ৎসিমার।
রান্নাঘর দেখান|Das ist die Küche.|এটা রান্নাঘর।|ডাস ইস্ট ডি ক্যুখে।|Hier koche ich jeden Tag.|আমি এখানে প্রতিদিন রান্না করি।|হিয়া কোখে ইখ ইয়েডেন টাক।
শোবার ঘরের কথা বলুন|Mein Bett steht am Fenster.|আমার বিছানা জানালার পাশে।|মাইন বেট শ্টেট আম ফেনস্টার।|Hier schlafe ich.|আমি এখানে ঘুমাই।|হিয়া শ্লাফে ইখ।
চাবি কোথায় আছে|Wo ist mein Schlüssel?|আমার চাবি কোথায়?|ভো ইস্ট মাইন শ্ল্যুসেল?|Er liegt auf dem Tisch.|ওটা টেবিলের ওপর আছে।|এয়া লিগ্ট আউফ ডেম টিশ।
ফোন খুঁজে নিন|Ich suche mein Handy.|আমি আমার ফোন খুঁজছি।|ইখ জুখে মাইন হ্যান্ডি।|Es ist in meiner Tasche.|ওটা আমার ব্যাগে আছে।|এস ইস্ট ইন মাইনার টাশে।
জানালা খুলতে বলুন|Bitte öffne das Fenster.|দয়া করে জানালা খোলো।|বিটে অ্যোফনে ডাস ফেনস্টার।|Es ist hier warm.|এখানে গরম লাগছে।|এস ইস্ট হিয়া ভার্ম।
দরজা বন্ধ করতে বলুন|Bitte mach die Tür zu.|দয়া করে দরজাটা বন্ধ করো।|বিটে মাখ ডি ট্যুর ৎসু।|Draußen ist es kalt.|বাইরে ঠান্ডা।|ড্রাউসেন ইস্ট এস কাল্ট।
বাতি জ্বালাতে বলুন|Kannst du das Licht anmachen?|তুমি কি বাতি জ্বালাবে?|কানস্ট ডু ডাস লিখ্ট আনমাখেন?|Ich möchte lesen.|আমি পড়তে চাই।|ইখ ম্যোখটে লেজেন।
কাউকে বসতে বলুন|Der Stuhl ist frei.|চেয়ারটা খালি আছে।|ডেয়া শ্টুল ইস্ট ফ্রাই।|Du kannst dich setzen.|তুমি বসতে পারো।|ডু কানস্ট ডিখ জেট্সেন।
বাথরুম কোথায় জিজ্ঞেস করুন|Wo ist das Badezimmer?|বাথরুম কোথায়?|ভো ইস্ট ডাস বাডেৎসিমার?|Es ist gleich links.|ওটা বাঁ দিকেই।|এস ইস্ট গ্লাইখ লিংক্স।
সকালে ওঠার কথা বলুন|Ich stehe um sieben Uhr auf.|আমি সাতটায় উঠি।|ইখ শ্টেয়ে উম জিবেন উয়া আউফ।|Dann dusche ich.|তারপর গোসল করি।|ডান ডুশে ইখ।
দিনের প্রস্তুতি নিন|Ich putze meine Zähne.|আমি দাঁত ব্রাশ করি।|ইখ পুট্সে মাইনে ৎসেনে।|Danach ziehe ich mich an.|তারপর পোশাক পরি।|ডানাখ ৎসিয়ে ইখ মিখ আন।
সকালের নাশতার কথা|Ich frühstücke zu Hause.|আমি বাসায় নাশতা করি।|ইখ ফ্র্যুশ্ট্যুকে ৎসু হাউজে।|Ich esse Brot mit Käse.|পনির দিয়ে রুটি খাই।|ইখ এসে ব্রোট মিট কেজে।
কাজে যাওয়ার কথা বলুন|Ich gehe jetzt zur Arbeit.|আমি এখন কাজে যাচ্ছি।|ইখ গেয়ে ইয়েট্স্ট ৎসুর আরবাইট।|Ich nehme den Bus.|আমি বাসে যাই।|ইখ নেমে ডেন বুস।
কাজ শুরুর সময় বলুন|Meine Arbeit beginnt um neun.|আমার কাজ নয়টায় শুরু হয়।|মাইনে আরবাইট বেগিন্ট উম নয়ন।|Ich bin pünktlich da.|আমি সময়মতো পৌঁছাই।|ইখ বিন প্যুংক্টলিখ ডা।
দুপুরের বিরতি নিন|Jetzt mache ich eine Pause.|এখন আমি বিরতি নিচ্ছি।|ইয়েট্স্ট মাখে ইখ আইনে পাউজে।|Ich esse etwas.|আমি কিছু খাই।|ইখ এসে এটভাস।
বাসায় ফেরার কথা|Ich komme um sechs nach Hause.|আমি ছয়টায় বাসায় ফিরি।|ইখ কোমে উম জেক্স নাখ হাউজে।|Dann koche ich Abendessen.|তারপর রাতের খাবার রান্না করি।|ডান কোখে ইখ আবেন্টএসেন।
সন্ধ্যার অবসরের কথা|Abends höre ich Musik.|সন্ধ্যায় আমি গান শুনি।|আবেন্ডস হ্যোরে ইখ মুজিক।|Manchmal sehe ich fern.|মাঝেমধ্যে টিভি দেখি।|মান্খমাল জেয়ে ইখ ফের্ন।
ঘুমাতে যাওয়ার কথা|Ich bin müde.|আমি ক্লান্ত।|ইখ বিন ম্যুডে।|Ich gehe jetzt ins Bett.|আমি এখন ঘুমাতে যাচ্ছি।|ইখ গেয়ে ইয়েট্স্ট ইনস বেট।
ঘুমের কথা বলুন|Ich schlafe acht Stunden.|আমি আট ঘণ্টা ঘুমাই।|ইখ শ্লাফে আখ্ট শ্টুন্ডেন।|Morgens bin ich wieder fit.|সকালে আবার সতেজ থাকি।|মর্গেন্স বিন ইখ ভিডার ফিট।
খিদে পেলে বলুন|Ich habe Hunger.|আমার খিদে পেয়েছে।|ইখ হাবে হুংগার।|Ich möchte etwas essen.|আমি কিছু খেতে চাই।|ইখ ম্যোখটে এটভাস এসেন।
পানি চাইতে শিখুন|Ich habe Durst.|আমার পিপাসা পেয়েছে।|ইখ হাবে ডুর্স্ট।|Ich möchte ein Glas Wasser.|আমি এক গ্লাস পানি চাই।|ইখ ম্যোখটে আইন গ্লাস ভাসার।
চা না কফি বেছে নিন|Ich trinke gern Tee.|আমি চা খেতে ভালোবাসি।|ইখ ট্রিংকে গের্ন টে।|Kaffee mag ich nicht.|কফি আমার পছন্দ নয়।|কাফে মাক ইখ নিখ্ট।
দুধ চাইতে শিখুন|Haben Sie Milch?|আপনাদের কাছে দুধ আছে?|হাবেন জি মিল্খ?|Ich nehme meinen Kaffee mit Milch.|আমি দুধ দিয়ে কফি খাই।|ইখ নেমে মাইনেন কাফে মিট মিল্খ।
সাধারণ পানি চাইতে বলুন|Ich möchte Wasser ohne Kohlensäure.|আমি গ্যাস ছাড়া পানি চাই।|ইখ ম্যোখটে ভাসার ওনে কোলেনজয়রে।|Das Wasser ist für mich.|পানিটা আমার জন্য।|ডাস ভাসার ইস্ট ফ্যুর মিখ।
ফলের পছন্দ বলুন|Ich esse gern Äpfel.|আমি আপেল খেতে ভালোবাসি।|ইখ এসে গের্ন অ্যেপফেল।|Bananen mag ich auch.|কলাও আমার ভালো লাগে।|বানানেন মাক ইখ আউখ।
সবজি কেনার কথা বলুন|Ich brauche Tomaten und Kartoffeln.|আমার টমেটো আর আলু লাগবে।|ইখ ব্রাউখে টোমাটেন উন্ট কার্টফেল্ন।|Die Karotten sind schon da.|গাজর আগে থেকেই আছে।|ডি কারোটেন জিন্ট শোন ডা।
দুপুরের খাবারের কথা|Heute gibt es Reis.|আজ ভাত রান্না হয়েছে।|হয়টে গিপ্ট এস রাইস।|Dazu essen wir Gemüse.|সঙ্গে আমরা সবজি খাই।|ডাৎসু এসেন ভিয়া গেম্যুজে।
পেট ভরে গেলে বলুন|Das Essen schmeckt gut.|খাবারটা সুস্বাদু।|ডাস এসেন শ্মেক্ট গুট।|Ich bin jetzt satt.|এখন আমার পেট ভরে গেছে।|ইখ বিন ইয়েট্স্ট জাট।
আরও রুটি চাইতে বলুন|Kann ich noch etwas Brot haben?|আমি কি আরও একটু রুটি পেতে পারি?|কান ইখ নখ এটভাস ব্রোট হাবেন?|Ich nehme auch etwas Butter.|আমি একটু মাখনও নেব।|ইখ নেমে আউখ এটভাস বুটার।
রেস্তোরাঁয় টেবিল চান|Haben Sie einen Tisch für zwei?|দুজনের জন্য টেবিল আছে?|হাবেন জি আইনেন টিশ ফ্যুর ৎসভাই?|Wir möchten hier essen.|আমরা এখানে খেতে চাই।|ভিয়া ম্যোখটেন হিয়া এসেন।
মেনু চাইতে শিখুন|Kann ich die Speisekarte haben?|আমি কি মেনু পেতে পারি?|কান ইখ ডি শ্পাইজেকার্টে হাবেন?|Ich möchte etwas bestellen.|আমি কিছু অর্ডার করতে চাই।|ইখ ম্যোখটে এটভাস বেশ্টেলেন।
কফি অর্ডার করুন|Ich hätte gern einen Kaffee.|আমি এক কাপ কফি চাই।|ইখ হেটে গের্ন আইনেন কাফে।|Ich nehme ihn ohne Zucker.|আমি চিনি ছাড়া নেব।|ইখ নেমে ইন ওনে ৎসুকার।
সহজ খাবার অর্ডার করুন|Ich nehme die Suppe.|আমি স্যুপটা নেব।|ইখ নেমে ডি জুপে।|Dazu möchte ich einen Salat.|সঙ্গে একটা সালাদ চাই।|ডাৎসু ম্যোখটে ইখ আইনেন জালাট।
নিরামিষ খাবার চান|Haben Sie vegetarische Gerichte?|নিরামিষ খাবার আছে?|হাবেন জি ভেগেটারিশে গেরিখ্টে?|Ich esse kein Fleisch.|আমি মাংস খাই না।|ইখ এসে কাইন ফ্লাইশ।
খাবারে শূকরের মাংস আছে কি|Ist da Schweinefleisch drin?|এতে কি শূকরের মাংস আছে?|ইস্ট ডা শ্ভাইনেফ্লাইশ ড্রিন?|Ich esse kein Schweinefleisch.|আমি শূকরের মাংস খাই না।|ইখ এসে কাইন শ্ভাইনেফ্লাইশ।
চামচ চাইতে শিখুন|Ich brauche einen Löffel.|আমার একটা চামচ লাগবে।|ইখ ব্রাউখে আইনেন ল্যোফেল।|Können Sie mir einen bringen?|একটা এনে দেবেন?|ক্যোনেন জি মিয়া আইনেন ব্রিংগেন?
বসার জায়গা খালি কি|Ist dieser Platz noch frei?|এই জায়গাটা কি খালি আছে?|ইস্ট ডিজার প্লাট্স নখ ফ্রাই?|Darf ich hier sitzen?|আমি কি এখানে বসতে পারি?|ডার্ফ ইখ হিয়া জিট্সেন?
রেস্তোরাঁয় বিল দিন|Ich möchte bitte bezahlen.|আমি বিল দিতে চাই।|ইখ ম্যোখটে বিটে বেৎসালেন।|Kann ich mit Karte zahlen?|কার্ডে দিতে পারি?|কান ইখ মিট কার্টে ৎসালেন?
খাবার নিয়ে যেতে বলুন|Ich möchte das zum Mitnehmen.|আমি এটা নিয়ে যেতে চাই।|ইখ ম্যোখটে ডাস ৎসুম মিটনেমেন।|Können Sie es bitte einpacken?|দয়া করে প্যাক করে দেবেন?|ক্যোনেন জি এস বিটে আইনপাকেন?
দাম জিজ্ঞেস করুন|Wie viel kostet das?|এটার দাম কত?|ভি ফিল কোস্টেট ডাস?|Ich möchte zwei davon.|আমি এর দুটি চাই।|ইখ ম্যোখটে ৎসভাই ডাফন।
দোকানে রুটি খুঁজুন|Wo finde ich das Brot?|রুটি কোথায় পাব?|ভো ফিন্ডে ইখ ডাস ব্রোট?|Ich brauche auch Eier.|আমার ডিমও লাগবে।|ইখ ব্রাউখে আউখ আইয়ার।
আপেল কিনতে বলুন|Ich hätte gern ein Kilo Äpfel.|আমি এক কিলো আপেল চাই।|ইখ হেটে গের্ন আইন কিলো অ্যেপফেল।|Die roten sehen gut aus.|লালগুলো ভালো দেখাচ্ছে।|ডি রোটেন জেয়েন গুট আউস।
ব্যাগ চাইতে শিখুন|Ich brauche eine Tasche.|আমার একটা ব্যাগ লাগবে।|ইখ ব্রাউখে আইনে টাশে।|Meine Tasche ist zu klein.|আমার ব্যাগটা খুব ছোট।|মাইনে টাশে ইস্ট ৎসু ক্লাইন।
নগদে টাকা দিন|Ich bezahle bar.|আমি নগদে দেব।|ইখ বেৎসালে বার।|Hier sind zwanzig Euro.|এই নিন বিশ ইউরো।|হিয়া জিন্ট ৎসভানৎসিখ অয়রো।
রসিদ চাইতে বলুন|Kann ich den Kassenbon haben?|আমি কি রসিদটা পেতে পারি?|কান ইখ ডেন কাসেনবন হাবেন?|Ich möchte ihn mitnehmen.|আমি ওটা নিয়ে যেতে চাই।|ইখ ম্যোখটে ইন মিটনেমেন।
দাম বেশি হলে বলুন|Das ist zu teuer.|এটার দাম বেশি।|ডাস ইস্ট ৎসু টয়ার।|Haben Sie etwas Günstigeres?|কম দামে কিছু আছে?|হাবেন জি এটভাস গ্যুনস্টিগেরেস?
পছন্দ হলে কিনুন|Das gefällt mir.|এটা আমার ভালো লাগছে।|ডাস গেফেল্ট মিয়া।|Ich nehme es.|আমি এটা নেব।|ইখ নেমে এস।
শুধু দেখছেন জানিয়ে দিন|Ich schaue mich nur um.|আমি শুধু দেখছি।|ইখ শাউয়ে মিখ নুর উম।|Ich brauche gerade keine Hilfe.|এখন আমার সাহায্য লাগছে না।|ইখ ব্রাউখে গেরাডে কাইনে হিলফে।
দোকান খোলার সময় জানুন|Wann öffnen Sie morgen?|আগামীকাল কখন খোলেন?|ভান অ্যোফনেন জি মর্গেন?|Wann schließen Sie heute?|আজ কখন বন্ধ করেন?|ভান শ্লিসেন জি হয়টে?
সময় জিজ্ঞেস করুন|Wie spät ist es?|কটা বাজে?|ভি শ্পেট ইস্ট এস?|Meine Uhr geht nicht.|আমার ঘড়ি চলছে না।|মাইনে উয়া গেট নিখ্ট।
সাড়ে সাতটা বলতে শিখুন|Es ist halb acht.|সাড়ে সাতটা বাজে।|এস ইস্ট হাল্প আখ্ট।|Wir müssen jetzt los.|আমাদের এখন বের হতে হবে।|ভিয়া ম্যুসেন ইয়েট্স্ট লোস।
দেখা করার সময় ঠিক করুন|Hast du um drei Zeit?|তিনটায় তোমার সময় আছে?|হাস্ট ডু উম ড্রাই ৎসাইট?|Wir können uns dann treffen.|আমরা তখন দেখা করতে পারি।|ভিয়া ক্যোনেন উন্স ডান ট্রেফেন।
আজ আর কাল কোন দিন|Heute ist Montag.|আজ সোমবার।|হয়টে ইস্ট মনটাক।|Morgen ist Dienstag.|কাল মঙ্গলবার।|মর্গেন ইস্ট ডিনস্টাক।
জন্মদিনের কথা বলুন|Mein Geburtstag ist im Mai.|আমার জন্মদিন মে মাসে।|মাইন গেবুর্টস্টাক ইস্ট ইম মাই।|Wann hast du Geburtstag?|তোমার জন্মদিন কবে?|ভান হাস্ট ডু গেবুর্টস্টাক?
সাপ্তাহিক ছুটির কথা|Am Samstag habe ich frei.|শনিবার আমার ছুটি।|আম জামস্টাক হাবে ইখ ফ্রাই।|Am Sonntag besuche ich Freunde.|রবিবার বন্ধুদের সঙ্গে দেখা করি।|আম জনটাক বেজুখে ইখ ফ্রয়ন্ডে।
সময় আছে জানিয়ে দিন|Ich habe heute Zeit.|আজ আমার সময় আছে।|ইখ হাবে হয়টে ৎসাইট।|Wir können spazieren gehen.|আমরা হাঁটতে যেতে পারি।|ভিয়া ক্যোনেন শ্পাৎসিরেন গেয়েন।
তাড়া আছে বলুন|Ich habe wenig Zeit.|আমার সময় কম।|ইখ হাবে ভেনিখ ৎসাইট।|Ich muss gleich gehen.|আমাকে এখনই যেতে হবে।|ইখ মুস গ্লাইখ গেয়েন।
আগে পৌঁছে গেলে বলুন|Ich bin zu früh.|আমি আগেই চলে এসেছি।|ইখ বিন ৎসু ফ্র্যু।|Ich warte noch zehn Minuten.|আরও দশ মিনিট অপেক্ষা করব।|ইখ ভার্টে নখ ৎসেন মিনিটেন।
দেরি হলে দুঃখ প্রকাশ করুন|Ich komme etwas später.|আমি একটু পরে আসব।|ইখ কোমে এটভাস শ্পেটার।|Es tut mir leid.|আমি দুঃখিত।|এস টুট মিয়া লাইট।
স্টেশন খুঁজে নিন|Wo ist der Bahnhof?|রেলস্টেশন কোথায়?|ভো ইস্ট ডেয়া বানহোফ?|Ist er weit weg?|ওটা কি অনেক দূরে?|ইস্ট এয়া ভাইট ভেক?
পথ জিজ্ঞেস করুন|Wie komme ich zum Rathaus?|টাউন হলে কীভাবে যাব?|ভি কোমে ইখ ৎসুম রাটহাউস?|Kann ich zu Fuß gehen?|হেঁটে যেতে পারি?|কান ইখ ৎসু ফুস গেয়েন?
সহজে পথ দেখান|Gehen Sie geradeaus.|সোজা যান।|গেয়েন জি গেরাডেআউস।|Dann biegen Sie rechts ab.|তারপর ডানে মোড় নিন।|ডান বিগেন জি রেখ্ট্স আপ।
বাসস্টপ খুঁজে নিন|Wo ist die Bushaltestelle?|বাসস্টপ কোথায়?|ভো ইস্ট ডি বুসহাল্টেশ্টেলে?|Ich suche den Bus zum Zentrum.|আমি শহরের কেন্দ্রে যাওয়ার বাস খুঁজছি।|ইখ জুখে ডেন বুস ৎসুম ৎসেন্ট্রুম।
টিকিট কিনতে বলুন|Ich brauche eine Fahrkarte nach Bonn.|আমার বন যাওয়ার টিকিট লাগবে।|ইখ ব্রাউখে আইনে ফারকার্টে নাখ বন।|Was kostet die Fahrt?|ভাড়া কত?|ভাস কোস্টেট ডি ফার্ট?
ট্রেনের প্ল্যাটফর্ম জানুন|Von welchem Gleis fährt der Zug?|ট্রেন কোন প্ল্যাটফর্ম থেকে ছাড়ে?|ফন ভেল্খেম গ্লাইস ফেয়ার্ট ডেয়া ৎসুক?|Ich fahre nach München.|আমি মিউনিখ যাচ্ছি।|ইখ ফারে নাখ ম্যুনখেন।
বাস কোথায় যায় জানুন|Fährt dieser Bus zum Bahnhof?|এই বাস কি স্টেশনে যায়?|ফেয়ার্ট ডিজার বুস ৎসুম বানহোফ?|Ich kenne die Strecke nicht.|আমি এই পথ চিনি না।|ইখ কেনে ডি শ্ট্রেকে নিখ্ট।
ট্রেনে বসার জায়গা চান|Ist der Sitz neben Ihnen frei?|আপনার পাশের সিটটা খালি?|ইস্ট ডেয়া জিট্স নেবেন ইনেন ফ্রাই?|Ich würde mich gern setzen.|আমি বসতে চাই।|ইখ ভ্যুর্ডে মিখ গের্ন জেট্সেন।
নামার সময় বলুন|Ich muss hier aussteigen.|আমাকে এখানে নামতে হবে।|ইখ মুস হিয়া আউসশ্টাইগেন।|Die nächste Haltestelle ist meine.|পরের স্টপেই আমি নামব।|ডি নেখস্টে হাল্টেশ্টেলে ইস্ট মাইনে।
পথ হারালে সাহায্য চান|Ich habe mich verlaufen.|আমি পথ হারিয়েছি।|ইখ হাবে মিখ ফেরলাউফেন।|Können Sie mir den Weg zeigen?|আমাকে পথ দেখাবেন?|ক্যোনেন জি মিয়া ডেন ভেক ৎসাইগেন?
পোশাকের মাপ চাইতে বলুন|Haben Sie diese Jacke in Größe M?|এই জ্যাকেটের এম সাইজ আছে?|হাবেন জি ডিজে ইয়াকে ইন গ্র্যোসে এম?|Ich möchte sie anprobieren.|আমি পরে দেখতে চাই।|ইখ ম্যোখটে জি আনপ্রোবিরেন।
পোশাক পরখের ঘর খুঁজুন|Wo sind die Umkleidekabinen?|পোশাক পরখের ঘর কোথায়?|ভো জিন্ট ডি উমক্লাইডেকাবিনেন?|Ich habe zwei Hosen dabei.|আমার সঙ্গে দুটি প্যান্ট আছে।|ইখ হাবে ৎসভাই হোজেন ডাবাই।
আরও বড় মাপ চান|Diese Hose ist zu eng.|প্যান্টটা খুব আঁটসাঁট।|ডিজে হোজে ইস্ট ৎসু এং।|Haben Sie sie eine Nummer größer?|এক সাইজ বড় হবে?|হাবেন জি জি আইনে নুমার গ্র্যোসার?
