# Greetings and introductions | A1 | A friendly adult arriving at a casual neighborhood meetup in Germany.
Say Your Name|Ich heiße Anna.|Wie heißt du?
Ask About a Delay|Hat unser Flug Verspätung?|Wann können wir einsteigen?
Find Missing Luggage|Mein Koffer ist nicht angekommen.|Er ist schwarz und ziemlich groß.
Describe Your Holiday|Wir waren eine Woche am Meer.|Das Wetter war wunderbar.
# Appointments and public services | A2 | An adult organizing documents at a public service desk or at home.
Make an Appointment Online|Ich möchte online einen Termin buchen.|Welche Unterlagen brauche ich?
Change an Appointment|Ich muss meinen Termin verschieben.|Passt Ihnen nächste Woche?
Cancel an Appointment|Ich möchte meinen Termin absagen.|Ich kann morgen leider nicht kommen.
Register Your Address|Ich möchte meinen Wohnsitz anmelden.|Ich bin gerade umgezogen.
Ask for a Form|Ich brauche ein Formular.|Wo kann ich es bekommen?
Ask Where to Sign|Wo muss ich unterschreiben?|Ich habe alles ausgefüllt.
Ask About Missing Documents|Fehlt noch ein Dokument?|Ich kann es morgen bringen.
Ask About Waiting Time|Wie lange muss ich warten?|Ich habe eine Nummer gezogen.
Ask for Written Confirmation|Kann ich eine schriftliche Bestätigung bekommen?|Bitte schicken Sie sie per E-Mail.
Check Your Personal Details|Meine Adresse hat sich geändert.|Ich gebe Ihnen die neue Adresse.
# Money, post and everyday problems | A2 | An adult handling a routine errand at a bank, post office or service counter.
Open a Bank Account|Ich möchte ein Konto eröffnen.|Welche Dokumente benötigen Sie?
Find a Cash Machine|Wo ist der nächste Geldautomat?|Ich muss Geld abheben.
Report a Lost Bank Card|Ich habe meine Bankkarte verloren.|Bitte sperren Sie die Karte.
Ask About a Charge|Ich verstehe diese Abbuchung nicht.|Können Sie das bitte prüfen?
Send a Parcel|Ich möchte dieses Paket verschicken.|Es soll nach Hamburg gehen.
Buy a Stamp|Ich brauche eine Briefmarke.|Der Brief geht nach Frankreich.
Collect a Parcel|Ich möchte mein Paket abholen.|Hier ist mein Ausweis.
Report a Missing Delivery|Mein Paket ist noch nicht angekommen.|Können Sie die Sendung prüfen?
Return a Wrong Order|Ich habe den falschen Artikel bekommen.|Ich möchte ihn zurückschicken.
Report a Lost Bag|Ich habe meine Tasche verloren.|Wo ist das Fundbüro?
# Invitations and social plans | B1 | An adult making friendly plans by phone or with a silent friend at a café.
Invite Someone to Dinner|Hast du Lust, mit uns zu essen?|Wir kochen heute Abend zusammen.
Accept an Invitation|Ich komme gern zu deiner Feier.|Soll ich etwas mitbringen?
Decline Politely|Ich würde gern kommen.|Leider habe ich schon etwas vor.
Suggest Another Day|Heute schaffe ich es leider nicht.|Wie wäre es mit morgen?
Arrange a Meeting Place|Lass uns vor dem Kino treffen.|Dort können wir aufeinander warten.
Ask to Bring a Friend|Darf ich einen Freund mitbringen?|Er ist gerade zu Besuch.
Offer Help at a Party|Kann ich dir beim Kochen helfen?|Ich könnte das Gemüse schneiden.
Thank Your Host|Danke, dass du mich eingeladen hast.|Der Abend war wirklich schön.
Explain a Changed Plan|Wir müssen das Treffen verschieben.|Ein Freund ist krank geworden.
Keep in Touch|Melde dich, wenn du Zeit hast.|Ich würde mich sehr freuen.
# Reasons and preferences | B1 | An adult explaining a simple everyday choice in a relaxed personal vlog.
Give a Simple Reason|Ich bleibe zu Hause, weil ich müde bin.|Morgen gehe ich wieder raus.
Explain Why You Learn German|Ich lerne Deutsch, weil ich hier arbeite.|Ich möchte meine Kollegen besser verstehen.
Choose Public Transport|Ich fahre lieber mit dem Zug.|So kann ich unterwegs lesen.
Explain a Food Preference|Ich koche gern selbst.|Dann weiß ich, was im Essen ist.
Say What Matters to You|Mir ist eine ruhige Wohnung wichtig.|Ich arbeite oft von zu Hause.
Compare Two Choices|Diese Wohnung ist günstiger als die andere.|Dafür ist sie etwas kleiner.
Share Your Opinion|Ich finde den Vorschlag gut.|Wir sollten es einfach versuchen.
Disagree Politely|Ich sehe das etwas anders.|Können wir noch einmal darüber sprechen?
Say You Are Unsure|Ich bin mir noch nicht sicher.|Ich möchte darüber nachdenken.
Make a Fair Suggestion|Wir können uns die Kosten teilen.|Dann wird es für alle günstiger.
# Past experiences | B1 | An adult sharing a short personal story with simple matching visual actions.
Talk About Yesterday|Gestern habe ich lange gearbeitet.|Danach bin ich früh eingeschlafen.
Describe a Missed Bus|Ich habe den Bus verpasst.|Deshalb bin ich zu spät gekommen.
Talk About Your First Day|Am Anfang war ich sehr nervös.|Meine Kollegen haben mir geholfen.
Describe a Successful Errand|Ich habe endlich eine Wohnung gefunden.|Nächsten Monat ziehe ich ein.
Talk About a Recent Purchase|Ich habe mir ein Fahrrad gekauft.|Damit fahre ich jetzt zur Arbeit.
Describe a Small Mistake|Ich habe die falsche Adresse eingegeben.|Zum Glück habe ich es rechtzeitig bemerkt.
Talk About Meeting a Friend|Am Wochenende habe ich Sara getroffen.|Wir haben lange miteinander gesprochen.
Describe a New Experience|Ich bin zum ersten Mal geflogen.|Es war aufregender als erwartet.
Talk About a Finished Course|Ich habe meinen Deutschkurs abgeschlossen.|Jetzt möchte ich weiterlernen.
Say What You Learned|Früher hatte ich Angst vor Fehlern.|Heute spreche ich trotzdem Deutsch.
# Plans, wishes and conditions | B1 | An adult planning everyday goals with a notebook in a bright quiet room.
Talk About Next Week|Nächste Woche fange ich einen neuen Job an.|Ich bin schon sehr gespannt.
Share a Learning Goal|Ich möchte jeden Tag zehn Minuten üben.|So bleibe ich beim Lernen dran.
Make a Weather-Dependent Plan|Wenn es morgen sonnig ist, gehen wir wandern.|Sonst bleiben wir in der Stadt.
Plan Around Your Schedule|Wenn ich früher fertig bin, rufe ich an.|Dann können wir uns treffen.
Ask for a Recommendation|Könntest du mir ein gutes Buch empfehlen?|Es sollte leicht zu lesen sein.
Express a Travel Wish|Ich würde gern einmal nach Wien reisen.|Dafür spare ich jeden Monat Geld.
Explain a Practical Goal|Ich möchte näher bei meiner Arbeit wohnen.|Dann brauche ich morgens weniger Zeit.
Make a Promise|Ich kümmere mich morgen darum.|Sobald ich fertig bin, melde ich mich.
Offer a Backup Plan|Falls der Zug ausfällt, nehmen wir den Bus.|Wir kommen trotzdem rechtzeitig an.
Share a Long-Term Wish|Später möchte ich eine Ausbildung machen.|Zuerst muss ich mein Deutsch verbessern.
# Problems, help and solutions | B1 | An adult calmly asking for assistance or resolving an everyday difficulty.
Ask for Urgent Help|Bitte rufen Sie einen Krankenwagen.|Hier braucht jemand dringend Hilfe.
Report a Theft|Mein Fahrrad wurde gestohlen.|Ich möchte den Diebstahl melden.
Explain a Reservation Problem|Meine Reservierung ist nicht im System.|Ich habe aber eine Bestätigung bekommen.
Ask for a Refund|Der Artikel ist beschädigt angekommen.|Ich möchte mein Geld zurückbekommen.
Clarify a Misunderstanding|Das habe ich anders verstanden.|Können Sie es genauer erklären?
Apologize for a Mistake|Ich habe versehentlich Ihre Tasche genommen.|Das war keine Absicht.
Ask Someone to Check|Ich glaube, die Rechnung stimmt nicht.|Könnten Sie bitte noch einmal nachrechnen?
Explain What You Have Tried|Ich habe es schon zweimal versucht.|Leider funktioniert es immer noch nicht.
Suggest Solving It Together|Wir finden bestimmt eine Lösung.|Lassen Sie uns die Möglichkeiten ansehen.
Thank Someone for Their Help|Ihre Hilfe hat mir viel bedeutet.|Jetzt weiß ich, wie es weitergeht.
