# প্রতি ভিডিও: বাংলা শিরোনাম | হিন্দি বাক্য ১ | বাংলা অর্থ ১ | বাংলা উচ্চারণ ১ | হিন্দি বাক্য ২ | বাংলা অর্থ ২ | বাংলা উচ্চারণ ২
# ক্যাপশনে মূল হিন্দি, বাংলা উচ্চারণ ও বাংলা অর্থ একসঙ্গে থাকবে। উপস্থাপক প্রতিটি হিন্দি বাক্যের পর তার বাংলা অর্থ বলবেন।
নিজের নাম বলুন|मेरा नाम आशा है।|আমার নাম আশা।|মেরা নাম আশা হ্যায়।|तुम्हारा नाम क्या है?|তোমার নাম কী?|তুমহারা নাম ক্যা হ্যায়?
উচ্চারণ ঠিক কি না জানুন|क्या मैं सही बोल रही हूँ?|আমি কি ঠিক বলছি?|ক্যা ম্যাঁ সহী বোল রহী হুঁ?|कृपया मेरी मदद कीजिए।|দয়া করে সাহায্য করুন।|কৃপয়া মেরী মদদ কীজিয়ে।
আপনার ভাষার পরিচয় দিন|क्या आप अंग्रेज़ी बोलते हैं?|আপনি কি ইংরেজি বলেন?|ক্যা আপ অংগ্রেজী বোলতে হ্যাঁয়?|मेरी मातृभाषा बांग्ला है।|আমার মাতৃভাষা বাংলা।|মেরী মাতৃভাষা বাংগলা হ্যায়।
প্রতিদিন একটু শিখুন|मैं रोज़ अभ्यास करती हूँ।|আমি প্রতিদিন অনুশীলন করি।|ম্যাঁ রোজ অভ্যাস করতী হুঁ।|आज मैं नए शब्द सीख रही हूँ।|আজ নতুন শব্দ শিখছি।|আজ ম্যাঁ নয়ে শব্দ সীখ রহী হুঁ।
প্রশ্ন করতে শিখুন|मेरा एक सवाल है।|আমার একটা প্রশ্ন আছে।|মেরা এক সওয়াল হ্যায়।|क्या आप मुझे यह समझाएँगे?|আমাকে এটা বুঝিয়ে বলবেন?|ক্যা আপ মুঝে ইয়হ সমঝাএঁগে?
পরিবারের পরিচয় দিন|यह मेरा परिवार है।|এটা আমার পরিবার।|ইয়হ মেরা পরিবার হ্যায়।|हम साथ रहते हैं।|আমরা একসঙ্গে থাকি।|হম সাথ রহতে হ্যাঁয়।
মায়ের কথা বলুন|मेरी माँ का नाम मीरा है।|আমার মায়ের নাম মীরা।|মেরী মাঁ কা নাম মীরা হ্যায়।|वह अस्पताल में काम करती हैं।|তিনি হাসপাতালে কাজ করেন।|ওহ অস্পতাল মেঁ কাম করতী হ্যাঁয়।
বাবার কথা বলুন|मेरे पिता शिक्षक हैं।|আমার বাবা শিক্ষক।|মেরে পিতা শিক্‌শক হ্যাঁয়।|उन्हें पढ़ना बहुत पसंद है।|তিনি পড়তে খুব ভালোবাসেন।|উনহেঁ পড়না বহুত পসন্দ হ্যায়।
বোনের কথা বলুন|मेरी एक बहन है।|আমার একটি বোন আছে।|মেরী এক বহন হ্যায়।|वह मुझसे छोटी है।|সে আমার চেয়ে ছোট।|ওহ মুঝসে ছোটী হ্যায়।
ভাই কোথায় থাকেন|मेरा भाई मुंबई में रहता है।|আমার ভাই মুম্বাইে থাকে।|মেরা ভাই মুম্বঈ মেঁ রহতা হ্যায়।|वह वहाँ विश्वविद्यालय में पढ़ता है।|সে সেখানে বিশ্ববিদ্যালয়ে পড়ে।|ওহ ওহাঁ বিশ্ববিদ্যালয় মেঁ পড়তা হ্যায়।
সন্তানের কথা বলুন|हमारे दो बच्चे हैं।|আমাদের দুই সন্তান আছে।|হমারে দো বচ্চে হ্যাঁয়।|वे स्कूल जाते हैं।|তারা স্কুলে যায়।|বে স্কুল জাতে হ্যাঁয়।
বৈবাহিক পরিচয় দিন|मैं शादीशुदा हूँ।|আমি বিবাহিত।|ম্যাঁ শাদীশুদা হুঁ।|मेरे पति आज काम कर रहे हैं।|আমার স্বামী আজ কাজ করছেন।|মেরে পতি আজ কাম কর রহে হ্যাঁয়।
সঙ্গীর কথা বলুন|मेरे पति हिंदी बोलते हैं।|আমার স্বামী হিন্দি বলেন।|মেরে পতি হিন্দী বোলতে হ্যাঁয়।|हम साथ सीखते हैं।|আমরা একসঙ্গে শিখি।|হম সাথ সীখতে হ্যাঁয়।
প্রিয় বন্ধুর পরিচয়|मेरी सबसे अच्छी सहेली सारा है।|আমার সবচেয়ে ভালো বান্ধবীর নাম সারা।|মেরী সবসে অচ্ছী সহেলী সারা হ্যায়।|हम अक्सर मिलते हैं।|আমরা প্রায়ই দেখা করি।|হম অক্‌সর মিলতে হ্যাঁয়।
দাদা-দাদির সঙ্গে দেখা|मेरे दादा-दादी गाँव में रहते हैं।|আমার দাদা-দাদি গ্রামে থাকেন।|মেরে দাদা-দাদী গাঁও মেঁ রহতে হ্যাঁয়।|मैं रविवार को उनसे मिलने जाती हूँ।|রবিবার তাঁদের দেখতে যাই।|ম্যাঁ রবিবার কো উনসে মিলনে জাতী হুঁ।
বাসার বর্ণনা দিন|मेरा घर छोटा है।|আমার বাসা ছোট।|মেরা ঘর ছোটা হ্যায়।|इसमें दो कमरे हैं।|এতে দুটি ঘর আছে।|ইসমেঁ দো কমরে হ্যাঁয়।
রান্নাঘর দেখান|यह रसोई है।|এটা রান্নাঘর।|ইয়হ রসোঈ হ্যায়।|मैं यहाँ रोज़ खाना बनाती हूँ।|আমি এখানে প্রতিদিন রান্না করি।|ম্যাঁ ইয়হাঁ রোজ খানা বনাতী হুঁ।
শোবার ঘরের কথা বলুন|मेरा बिस्तर खिड़की के पास है।|আমার বিছানা জানালার পাশে।|মেরা বিস্তর খিড়কী কে পাস হ্যায়।|मैं यहाँ सोती हूँ।|আমি এখানে ঘুমাই।|ম্যাঁ ইয়হাঁ সোতী হুঁ।
চাবি কোথায় আছে|मेरी चाबी कहाँ है?|আমার চাবি কোথায়?|মেরী চাবী কহাঁ হ্যায়?|वह मेज़ पर है।|ওটা টেবিলের ওপর আছে।|ওহ মেজ পর হ্যায়।
ফোন খুঁজে নিন|मैं अपना फ़ोन ढूँढ़ रही हूँ।|আমি আমার ফোন খুঁজছি।|ম্যাঁ অপনা ফোন ঢুঁঢ় রহী হুঁ।|वह मेरे बैग में है।|ওটা আমার ব্যাগে আছে।|ওহ মেরে ব্যাগ মেঁ হ্যায়।
জানালা খুলতে বলুন|कृपया खिड़की खोल दो।|দয়া করে জানালা খোলো।|কৃপয়া খিড়কী খোল দো।|यहाँ गर्मी है।|এখানে গরম লাগছে।|ইয়হাঁ গর্মী হ্যায়।
দরজা বন্ধ করতে বলুন|कृपया दरवाज़ा बंद कर दो।|দয়া করে দরজাটা বন্ধ করো।|কৃপয়া দরওয়াজা বন্দ কর দো।|बाहर ठंड है।|বাইরে ঠান্ডা।|বাহর ঠন্ড হ্যায়।
বাতি জ্বালাতে বলুন|क्या तुम बत्ती जला दोगे?|তুমি কি বাতি জ্বালাবে?|ক্যা তুম বত্তী জলা দোগে?|मैं पढ़ना चाहती हूँ।|আমি পড়তে চাই।|ম্যাঁ পড়না চাহতী হুঁ।
কাউকে বসতে বলুন|यह कुर्सी खाली है।|চেয়ারটা খালি আছে।|ইয়হ কুর্সী খালী হ্যায়।|तुम बैठ सकते हो।|তুমি বসতে পারো।|তুম বৈঠ সকতে হো।
বাথরুম কোথায় জিজ্ঞেস করুন|बाथरूम कहाँ है?|বাথরুম কোথায়?|বাথরুম কহাঁ হ্যায়?|वह बाईं ओर है।|ওটা বাঁ দিকেই।|ওহ বাঈঁ ওর হ্যায়।
সকালে ওঠার কথা বলুন|मैं सात बजे उठती हूँ।|আমি সাতটায় উঠি।|ম্যাঁ সাত বজে উঠতী হুঁ।|फिर मैं नहाती हूँ।|তারপর গোসল করি।|ফির ম্যাঁ নহাতী হুঁ।
দিনের প্রস্তুতি নিন|मैं अपने दाँत साफ़ करती हूँ।|আমি দাঁত ব্রাশ করি।|ম্যাঁ অপনে দাঁত সাফ করতী হুঁ।|उसके बाद कपड़े पहनती हूँ।|তারপর পোশাক পরি।|উসকে বাদ কপড়ে পহনতী হুঁ।
সকালের নাশতার কথা|मैं घर पर नाश्ता करती हूँ।|আমি বাসায় নাশতা করি।|ম্যাঁ ঘর পর নাশ্তা করতী হুঁ।|मैं पनीर के साथ रोटी खाती हूँ।|পনির দিয়ে রুটি খাই।|ম্যাঁ পনীর কে সাথ রোটী খাতী হুঁ।
কাজে যাওয়ার কথা বলুন|मैं अब काम पर जा रही हूँ।|আমি এখন কাজে যাচ্ছি।|ম্যাঁ অব কাম পর জা রহী হুঁ।|मैं बस से जाती हूँ।|আমি বাসে যাই।|ম্যাঁ বস সে জাতী হুঁ।
কাজ শুরুর সময় বলুন|मेरा काम नौ बजे शुरू होता है।|আমার কাজ নয়টায় শুরু হয়।|মেরা কাম নৌ বজে শুরু হোতা হ্যায়।|मैं समय पर पहुँचती हूँ।|আমি সময়মতো পৌঁছাই।|ম্যাঁ সময় পর পহুঁচতী হুঁ।
দুপুরের বিরতি নিন|अब मैं थोड़ा आराम कर रही हूँ।|এখন আমি একটু বিশ্রাম নিচ্ছি।|অব ম্যাঁ থোড়া আরাম কর রহী হুঁ।|मैं कुछ खाती हूँ।|আমি কিছু খাই।|ম্যাঁ কুছ খাতী হুঁ।
বাসায় ফেরার কথা|मैं छह बजे घर आती हूँ।|আমি ছয়টায় বাসায় ফিরি।|ম্যাঁ ছহ বজে ঘর আতী হুঁ।|फिर रात का खाना बनाती हूँ।|তারপর রাতের খাবার রান্না করি।|ফির রাত কা খানা বনাতী হুঁ।
সন্ধ্যার অবসরের কথা|शाम को मैं गाने सुनती हूँ।|সন্ধ্যায় আমি গান শুনি।|শাম কো ম্যাঁ গানে সুনতী হুঁ।|कभी-कभी टीवी देखती हूँ।|মাঝেমধ্যে টিভি দেখি।|কভী-কভী টীবী দেখতী হুঁ।
ঘুমাতে যাওয়ার কথা|मैं थकी हुई हूँ।|আমি ক্লান্ত।|ম্যাঁ থকী হুঈ হুঁ।|मैं अब सोने जा रही हूँ।|আমি এখন ঘুমাতে যাচ্ছি।|ম্যাঁ অব সোনে জা রহী হুঁ।
ঘুমের কথা বলুন|मैं आठ घंटे सोती हूँ।|আমি আট ঘণ্টা ঘুমাই।|ম্যাঁ আঠ ঘন্টে সোতী হুঁ।|सुबह फिर तरोताज़ा महसूस करती हूँ।|সকালে আবার সতেজ থাকি।|সুবহ ফির তরোতাজা মহসুস করতী হুঁ।
খিদে পেলে বলুন|मुझे भूख लगी है।|আমার খিদে পেয়েছে।|মুঝে ভূখ লগী হ্যায়।|मैं कुछ खाना चाहती हूँ।|আমি কিছু খেতে চাই।|ম্যাঁ কুছ খানা চাহতী হুঁ।
পানি চাইতে শিখুন|मुझे प्यास लगी है।|আমার পিপাসা পেয়েছে।|মুঝে প্যাস লগী হ্যায়।|मुझे एक गिलास पानी चाहिए।|আমি এক গ্লাস পানি চাই।|মুঝে এক গিলাস পানী চাহিয়ে।
চা না কফি বেছে নিন|मुझे चाय पीना पसंद है।|আমি চা খেতে ভালোবাসি।|মুঝে চায় পীনা পসন্দ হ্যায়।|मुझे कॉफ़ी पसंद नहीं है।|কফি আমার পছন্দ নয়।|মুঝে কফী পসন্দ নহীঁ হ্যায়।
দুধ চাইতে শিখুন|क्या आपके पास दूध है?|আপনাদের কাছে দুধ আছে?|ক্যা আপকে পাস দুধ হ্যায়?|मैं दूध वाली कॉफ़ी लेती हूँ।|আমি দুধ দিয়ে কফি খাই।|ম্যাঁ দুধ বালী কফী লেতী হুঁ।
সাধারণ পানি চাইতে বলুন|मुझे सादा पानी चाहिए।|আমি সাধারণ পানি চাই।|মুঝে সাদা পানী চাহিয়ে।|यह पानी मेरे लिए है।|পানিটা আমার জন্য।|ইয়হ পানী মেরে লিয়ে হ্যায়।
ফলের পছন্দ বলুন|मुझे सेब खाना पसंद है।|আমি আপেল খেতে ভালোবাসি।|মুঝে সেব খানা পসন্দ হ্যায়।|मुझे केले भी पसंद हैं।|কলাও আমার ভালো লাগে।|মুঝে কেলে ভী পসন্দ হ্যাঁয়।
সবজি কেনার কথা বলুন|मुझे टमाटर और आलू चाहिए।|আমার টমেটো আর আলু লাগবে।|মুঝে টমাটর ঔর আলু চাহিয়ে।|गाजर पहले से हैं।|গাজর আগে থেকেই আছে।|গাজর পহলে সে হ্যাঁয়।
দুপুরের খাবারের কথা|आज चावल बने हैं।|আজ ভাত রান্না হয়েছে।|আজ চাওল বনে হ্যাঁয়।|हम साथ में सब्ज़ी खाते हैं।|সঙ্গে আমরা সবজি খাই।|হম সাথ মেঁ সবজী খাতে হ্যাঁয়।
পেট ভরে গেলে বলুন|खाना स्वादिष्ट है।|খাবারটা সুস্বাদু।|খানা স্বাদিষ্ট হ্যায়।|अब मेरा पेट भर गया है।|এখন আমার পেট ভরে গেছে।|অব মেরা পেট ভর গয়া হ্যায়।
আরও রুটি চাইতে বলুন|क्या मुझे थोड़ी और रोटी मिलेगी?|আমি কি আরও একটু রুটি পেতে পারি?|ক্যা মুঝে থোড়ী ঔর রোটী মিলেগী?|मैं थोड़ा मक्खन भी लूँगी।|আমি একটু মাখনও নেব।|ম্যাঁ থোড়া মক্‌খন ভী লুঙ্গী।
রেস্তোরাঁয় টেবিল চান|क्या दो लोगों के लिए मेज़ है?|দুজনের জন্য টেবিল আছে?|ক্যা দো লোগোঁ কে লিয়ে মেজ হ্যায়?|हम यहाँ खाना चाहते हैं।|আমরা এখানে খেতে চাই।|হম ইয়হাঁ খানা চাহতে হ্যাঁয়।
মেনু চাইতে শিখুন|क्या मुझे मेन्यू मिलेगा?|আমি কি মেনু পেতে পারি?|ক্যা মুঝে মেন্যু মিলেগা?|मैं कुछ मँगवाना चाहती हूँ।|আমি কিছু অর্ডার করতে চাই।|ম্যাঁ কুছ মঙ্গবানা চাহতী হুঁ।
কফি অর্ডার করুন|मुझे एक कॉफ़ी दीजिए।|আমি এক কাপ কফি চাই।|মুঝে এক কফী দীজিয়ে।|मैं बिना चीनी के लूँगी।|আমি চিনি ছাড়া নেব।|ম্যাঁ বিনা চীনী কে লুঙ্গী।
সহজ খাবার অর্ডার করুন|मैं सूप लूँगी।|আমি স্যুপটা নেব।|ম্যাঁ সুপ লুঙ্গী।|साथ में एक सलाद चाहिए।|সঙ্গে একটা সালাদ চাই।|সাথ মেঁ এক সলাদ চাহিয়ে।
নিরামিষ খাবার চান|क्या शाकाहारी खाना है?|নিরামিষ খাবার আছে?|ক্যা শাকাহারী খানা হ্যায়?|मैं मांस नहीं खाती।|আমি মাংস খাই না।|ম্যাঁ মাঁস নহীঁ খাতী।
খাবারে শূকরের মাংস আছে কি|क्या इसमें सूअर का मांस है?|এতে কি শূকরের মাংস আছে?|ক্যা ইসমেঁ সুঅর কা মাঁস হ্যায়?|मैं सूअर का मांस नहीं खाती।|আমি শূকরের মাংস খাই না।|ম্যাঁ সুঅর কা মাঁস নহীঁ খাতী।
চামচ চাইতে শিখুন|मुझे एक चम्मच चाहिए।|আমার একটা চামচ লাগবে।|মুঝে এক চম্মচ চাহিয়ে।|क्या आप एक ला देंगे?|একটা এনে দেবেন?|ক্যা আপ এক লা দেঙ্গে?
বসার জায়গা খালি কি|क्या यह जगह खाली है?|এই জায়গাটা কি খালি আছে?|ক্যা ইয়হ জগহ খালী হ্যায়?|क्या मैं यहाँ बैठ सकती हूँ?|আমি কি এখানে বসতে পারি?|ক্যা ম্যাঁ ইয়হাঁ বৈঠ সকতী হুঁ?
রেস্তোরাঁয় বিল দিন|मुझे बिल चुकाना है।|আমি বিল দিতে চাই।|মুঝে বিল চুকানা হ্যায়।|क्या मैं कार्ड से दे सकती हूँ?|কার্ডে দিতে পারি?|ক্যা ম্যাঁ কার্ড সে দে সকতী হুঁ?
খাবার নিয়ে যেতে বলুন|मुझे यह साथ ले जाना है।|আমি এটা নিয়ে যেতে চাই।|মুঝে ইয়হ সাথ লে জানা হ্যায়।|क्या आप इसे पैक कर देंगे?|দয়া করে প্যাক করে দেবেন?|ক্যা আপ ইসে প্যাক কর দেঙ্গে?
দাম জিজ্ঞেস করুন|यह कितने का है?|এটার দাম কত?|ইয়হ কিতনে কা হ্যায়?|मुझे ऐसे दो चाहिए।|আমি এর দুটি চাই।|মুঝে অ্যায়সে দো চাহিয়ে।
দোকানে রুটি খুঁজুন|ब्रेड कहाँ मिलेगी?|রুটি কোথায় পাব?|ব্রেড কহাঁ মিলেগী?|मुझे अंडे भी चाहिए।|আমার ডিমও লাগবে।|মুঝে অন্ডে ভী চাহিয়ে।
আপেল কিনতে বলুন|मुझे एक किलो सेब दीजिए।|আমি এক কিলো আপেল চাই।|মুঝে এক কিলো সেব দীজিয়ে।|लाल वाले अच्छे लग रहे हैं।|লালগুলো ভালো দেখাচ্ছে।|লাল বালে অচ্ছে লগ রহে হ্যাঁয়।
ব্যাগ চাইতে শিখুন|मुझे एक थैला चाहिए।|আমার একটা ব্যাগ লাগবে।|মুঝে এক থ্যায়লা চাহিয়ে।|मेरा बैग बहुत छोटा है।|আমার ব্যাগটা খুব ছোট।|মেরা ব্যাগ বহুত ছোটা হ্যায়।
নগদে টাকা দিন|मैं नकद दूँगी।|আমি নগদে দেব।|ম্যাঁ নগদ দুঙ্গী।|ये बीस रुपये हैं।|এই নিন বিশ রুপি।|য়ে বীস রুপয়ে হ্যাঁয়।
রসিদ চাইতে বলুন|क्या मुझे रसीद मिलेगी?|আমি কি রসিদটা পেতে পারি?|ক্যা মুঝে রসীদ মিলেগী?|मैं इसे साथ ले जाना चाहती हूँ।|আমি ওটা নিয়ে যেতে চাই।|ম্যাঁ ইসে সাথ লে জানা চাহতী হুঁ।
দাম বেশি হলে বলুন|यह बहुत महँगा है।|এটার দাম বেশি।|ইয়হ বহুত মহঙ্গা হ্যায়।|क्या कुछ सस्ता है?|কম দামে কিছু আছে?|ক্যা কুছ সস্তা হ্যায়?
পছন্দ হলে কিনুন|मुझे यह पसंद है।|এটা আমার ভালো লাগছে।|মুঝে ইয়হ পসন্দ হ্যায়।|मैं इसे लूँगी।|আমি এটা নেব।|ম্যাঁ ইসে লুঙ্গী।
শুধু দেখছেন জানিয়ে দিন|मैं बस देख रही हूँ।|আমি শুধু দেখছি।|ম্যাঁ বস দেখ রহী হুঁ।|अभी मुझे मदद नहीं चाहिए।|এখন আমার সাহায্য লাগছে না।|অভী মুঝে মদদ নহীঁ চাহিয়ে।
দোকান খোলার সময় জানুন|आप कल कब खोलेंगे?|আগামীকাল কখন খোলেন?|আপ কল কব খুলেঙ্গে?|आज कब बंद करेंगे?|আজ কখন বন্ধ করেন?|আজ কব বন্দ করেঙ্গে?
সময় জিজ্ঞেস করুন|अभी कितने बजे हैं?|কটা বাজে?|অভী কিতনে বজে হ্যাঁয়?|मेरी घड़ी नहीं चल रही।|আমার ঘড়ি চলছে না।|মেরী ঘড়ী নহীঁ চল রহী।
সাড়ে সাতটা বলতে শিখুন|साढ़े सात बजे हैं।|সাড়ে সাতটা বাজে।|সাঢ়ে সাত বজে হ্যাঁয়।|हमें अब निकलना है।|আমাদের এখন বের হতে হবে।|হমেঁ অব নিকলনা হ্যায়।
দেখা করার সময় ঠিক করুন|क्या तुम तीन बजे खाली हो?|তিনটায় তোমার সময় আছে?|ক্যা তুম তিন বজে খালী হো?|हम तब मिल सकते हैं।|আমরা তখন দেখা করতে পারি।|হম তব মিল সকতে হ্যাঁয়।
আজ আর কাল কোন দিন|आज सोमवार है।|আজ সোমবার।|আজ সোমবার হ্যায়।|कल मंगलवार है।|কাল মঙ্গলবার।|কল মঙ্গলবার হ্যায়।
জন্মদিনের কথা বলুন|मेरा जन्मदिन मई में है।|আমার জন্মদিন মে মাসে।|মেরা জন্মদিন মঈ মেঁ হ্যায়।|तुम्हारा जन्मदिन कब है?|তোমার জন্মদিন কবে?|তুমহারা জন্মদিন কব হ্যায়?
সাপ্তাহিক ছুটির কথা|शनिवार को मेरी छुट्टी है।|শনিবার আমার ছুটি।|শনিবার কো মেরী ছুট্টী হ্যায়।|रविवार को दोस्तों से मिलती हूँ।|রবিবার বন্ধুদের সঙ্গে দেখা করি।|রবিবার কো দোস্তোঁ সে মিলতী হুঁ।
সময় আছে জানিয়ে দিন|आज मेरे पास समय है।|আজ আমার সময় আছে।|আজ মেরে পাস সময় হ্যায়।|हम टहलने जा सकते हैं।|আমরা হাঁটতে যেতে পারি।|হম টহলনে জা সকতে হ্যাঁয়।
তাড়া আছে বলুন|मेरे पास समय कम है।|আমার সময় কম।|মেরে পাস সময় কম হ্যায়।|मुझे अभी जाना है।|আমাকে এখনই যেতে হবে।|মুঝে অভী জানা হ্যায়।
আগে পৌঁছে গেলে বলুন|मैं जल्दी आ गई हूँ।|আমি আগেই চলে এসেছি।|ম্যাঁ জলদী আ গঈ হুঁ।|मैं दस मिनट और इंतज़ार करूँगी।|আরও দশ মিনিট অপেক্ষা করব।|ম্যাঁ দস মিনিট ঔর ইনতজার করুঙ্গী।
দেরি হলে দুঃখ প্রকাশ করুন|मैं थोड़ी देर से आऊँगी।|আমি একটু পরে আসব।|ম্যাঁ থোড়ী দের সে আউঁগী।|मुझे माफ़ कीजिए।|আমি দুঃখিত।|মুঝে মাফ কীজিয়ে।
স্টেশন খুঁজে নিন|रेलवे स्टेशन कहाँ है?|রেলস্টেশন কোথায়?|রেলবে স্টেশন কহাঁ হ্যায়?|क्या वह बहुत दूर है?|ওটা কি অনেক দূরে?|ক্যা ওহ বহুত দুর হ্যায়?
পথ জিজ্ঞেস করুন|नगर निगम का दफ़्तर कैसे जाऊँ?|পৌরসভার অফিসে কীভাবে যাব?|নগর নিগম কা দফতর ক্যায়সে জাউঁ?|क्या मैं पैदल जा सकती हूँ?|হেঁটে যেতে পারি?|ক্যা ম্যাঁ প্যায়দল জা সকতী হুঁ?
সহজে পথ দেখান|आप सीधे जाइए।|সোজা যান।|আপ সীধে জাইয়ে।|फिर दाएँ मुड़िए।|তারপর ডানে মোড় নিন।|ফির দাএঁ মুড়িয়ে।
বাসস্টপ খুঁজে নিন|बस स्टॉप कहाँ है?|বাসস্টপ কোথায়?|বস স্টপ কহাঁ হ্যায়?|मुझे शहर के केंद्र वाली बस चाहिए।|আমার শহরের কেন্দ্রে যাওয়ার বাস লাগবে।|মুঝে শহর কে কেন্দ্র বালী বস চাহিয়ে।
টিকিট কিনতে বলুন|मुझे जयपुर का टिकट चाहिए।|আমার জয়পুর যাওয়ার টিকিট লাগবে।|মুঝে জয়পুর কা টিকট চাহিয়ে।|किराया कितना है?|ভাড়া কত?|কিরায়া কিতনা হ্যায়?
ট্রেনের প্ল্যাটফর্ম জানুন|ट्रेन किस प्लेटफ़ॉर्म से जाएगी?|ট্রেন কোন প্ল্যাটফর্ম থেকে ছাড়ে?|ট্রেন কিস প্লেটফর্ম সে জাএগী?|मैं पुणे जा रही हूँ।|আমি পুনে যাচ্ছি।|ম্যাঁ পুণে জা রহী হুঁ।
বাস কোথায় যায় জানুন|क्या यह बस स्टेशन जाती है?|এই বাস কি স্টেশনে যায়?|ক্যা ইয়হ বস স্টেশন জাতী হ্যায়?|मैं यह रास्ता नहीं जानती।|আমি এই পথ চিনি না।|ম্যাঁ ইয়হ রাস্তা নহীঁ জানতী।
